City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Miandrivazo,MG,78.19,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
271,Lambarene,GA,77.68,overcast clouds,-0.7001,10.2406,Le Refuge
276,Grand Gaube,MU,73.8,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
279,Amapa,BR,75.99,overcast clouds,1.0,-52.0,
283,Roanoke Rapids,US,88.2,clear sky,36.4615,-77.6542,Hampton Inn Roanoke Rapids
284,Dhidhdhoo,MV,84.22,overcast clouds,6.8833,73.1,Dhidhoo beach
287,Puli,TW,76.23,clear sky,23.9664,120.9695,牛耳藝術渡假村木屋區
290,Jimenez,MX,87.13,clear sky,28.3333,-105.4,El torreon
291,Paita,PE,72.9,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
292,Coahuayana,MX,87.66,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
294,Sao Felix Do Xingu,BR,80.1,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
295,Elat,IL,76.84,haze,29.5581,34.9482,Club Hotel Eilat
297,Padang,ID,77.58,overcast clouds,-0.9492,100.3543,Mercure Padang
299,Katobu,ID,74.44,few clouds,-4.9408,122.5276,La Ode Husein
303,Champerico,GT,88.34,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
304,Sabha,LY,80.28,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
310,Mersing,MY,75.11,few clouds,2.4312,103.8405,Timotel Hotel
312,Garissa,KE,82.11,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
313,Kaseda,JP,72.32,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
314,Miguel Pereira,BR,71.74,broken clouds,-22.4539,-43.4689,Quarto dos Sonhos
318,Gamba,GA,77.74,overcast clouds,-2.65,10.0,
323,Nautla,MX,86.86,clear sky,20.2167,-96.7833,Casa Blanca
325,Belmonte,BR,78.48,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
326,Palu,ID,74.95,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
329,Lazaro Cardenas,MX,83.59,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
330,Bengkulu,ID,76.33,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
332,Kavaratti,IN,84.24,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
333,Umm Kaddadah,SD,82.69,overcast clouds,13.6017,26.6876,
334,Kulhudhuffushi,MV,84.13,overcast clouds,6.6221,73.07,Haajy Guest House 1
335,Gizo,SB,82.94,overcast clouds,-8.103,156.8419,Imagination Island
338,Chumphon,TH,73.29,overcast clouds,10.3333,98.8333,สกาน จ๋า.
339,Hobyo,SO,83.08,broken clouds,5.3505,48.5268,Iftin hotel hobyo
341,Loa Janan,ID,73.31,overcast clouds,-0.583,117.095,Ss
