City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,Mineiros,BR,2022-04-25 21:16:45,-17.5694,-52.5511,76.75,67,7,4.38,clear sky
86,Namatanai,PG,2022-04-25 21:16:46,-3.6667,152.4333,79.54,79,100,5.23,overcast clouds
87,Lorengau,PG,2022-04-25 21:16:46,-2.0226,147.2712,81.37,79,44,6.46,scattered clouds
88,Realeza,BR,2022-04-25 21:16:47,-25.7689,-53.5325,73.29,83,6,4.0,clear sky
89,Quatre Cocos,MU,2022-04-25 21:16:47,-20.2078,57.7625,73.51,74,59,16.2,light rain
90,Itarema,BR,2022-04-25 21:07:07,-2.9248,-39.9167,78.69,86,35,11.27,scattered clouds
91,Orkney,ZA,2022-04-25 21:16:48,-26.9802,26.6727,52.86,29,0,6.2,clear sky
92,Odweyne,SO,2022-04-25 21:17:48,9.4092,45.064,70.75,64,100,5.1,overcast clouds
93,Bredasdorp,ZA,2022-04-25 21:17:49,-34.5322,20.0403,54.95,75,0,3.18,clear sky
94,Arraial Do Cabo,BR,2022-04-25 21:17:49,-22.9661,-42.0278,75.06,78,0,6.91,clear sky
95,Port Elizabeth,ZA,2022-04-25 21:17:50,-33.918,25.5701,58.32,87,0,12.66,clear sky
96,Svetlogorsk,BY,2022-04-25 21:17:50,52.6333,29.7333,51.87,90,84,6.33,broken clouds
97,Zhanaozen,KZ,2022-04-25 21:17:51,43.3,52.8,65.12,24,5,12.73,clear sky
98,Ulladulla,AU,2022-04-25 21:17:51,-35.35,150.4667,58.5,90,100,4.47,overcast clouds
99,San Jeronimo,PE,2022-04-25 21:17:51,-11.9472,-75.2829,57.65,63,100,2.73,overcast clouds
100,Bandarbeyla,SO,2022-04-25 21:17:52,9.4942,50.8122,81.5,73,99,5.73,overcast clouds
101,Lokosovo,RU,2022-04-25 21:17:52,61.1333,74.8167,32.95,100,100,2.73,overcast clouds
102,Souillac,MU,2022-04-25 21:17:53,-20.5167,57.5167,73.78,88,40,12.66,light rain
103,Saint-Philippe,RE,2022-04-25 21:17:53,-21.3585,55.7679,74.79,79,90,15.28,light rain
104,Havelock,US,2022-04-25 21:17:54,34.8791,-76.9013,82.36,68,0,13.0,clear sky
105,Suntar,RU,2022-04-25 21:17:54,62.1444,117.6319,22.57,95,93,2.8,overcast clouds
106,Manta,EC,2022-04-25 21:15:26,-0.95,-80.7333,82.18,69,40,9.22,scattered clouds
107,Narsaq,GL,2022-04-25 21:17:55,60.9167,-46.05,44.82,79,93,0.81,overcast clouds
108,Abadan,IR,2022-04-25 21:17:55,30.3392,48.3043,73.35,64,40,9.22,scattered clouds
109,Mezdra,BG,2022-04-25 21:17:56,43.15,23.7,56.5,71,61,2.48,light rain
110,Baykit,RU,2022-04-25 21:17:56,61.67,96.37,22.41,93,100,3.91,overcast clouds
111,Manokwari,ID,2022-04-25 21:17:56,-0.8667,134.0833,79.36,76,60,4.12,broken clouds
112,Samarinda,ID,2022-04-25 21:17:57,-0.5,117.15,73.22,99,100,2.51,overcast clouds
113,Aljubarrota,PT,2022-04-25 21:17:57,39.5672,-8.9293,57.54,85,100,3.11,overcast clouds
114,Orcopampa,PE,2022-04-25 21:17:58,-15.2661,-72.3417,58.01,33,77,12.21,broken clouds
115,Novo Aripuana,BR,2022-04-25 21:17:58,-5.1206,-60.3797,81.07,82,100,3.04,overcast clouds
116,Tautira,PF,2022-04-25 21:17:59,-17.7333,-149.15,80.83,74,8,11.03,clear sky
117,Ancud,CL,2022-04-25 21:17:59,-41.8697,-73.8203,52.23,91,100,31.72,moderate rain
118,Clyde River,CA,2022-04-25 21:18:00,70.4692,-68.5914,8.83,92,100,21.85,light snow
119,Chuy,UY,2022-04-25 21:18:00,-33.6971,-53.4616,65.52,97,100,7.4,overcast clouds
120,Mehamn,NO,2022-04-25 21:18:00,71.0357,27.8492,30.11,69,75,29.93,broken clouds
121,Ovsyanka,RU,2022-04-25 21:18:01,55.9575,92.5519,22.23,91,39,3.91,scattered clouds
122,Labrea,BR,2022-04-25 21:18:01,-7.2586,-64.7981,85.82,69,59,4.74,broken clouds
123,Nikolskoye,RU,2022-04-25 21:18:02,59.7035,30.7861,41.72,97,100,5.06,overcast clouds
124,Brejo,BR,2022-04-25 21:18:02,-3.6844,-42.7503,75.6,93,100,2.93,overcast clouds
125,Bage,BR,2022-04-25 21:18:03,-31.3314,-54.1069,66.31,95,100,2.33,heavy intensity rain
126,East London,ZA,2022-04-25 21:18:03,-33.0153,27.9116,62.33,70,15,14.79,light rain
127,Nelson Bay,AU,2022-04-25 21:08:26,-32.7167,152.15,63.0,96,100,3.69,overcast clouds
128,Geraldton,AU,2022-04-25 21:18:04,-28.7667,114.6,68.41,73,100,12.66,overcast clouds
129,Beloha,MG,2022-04-25 21:18:04,-25.1667,45.05,75.22,75,100,4.83,overcast clouds
130,Thunder Bay,CA,2022-04-25 21:17:17,48.4001,-89.3168,35.29,55,100,12.66,overcast clouds
131,Gorontalo,ID,2022-04-25 21:18:05,0.5412,123.0595,74.88,95,87,2.53,overcast clouds
132,Were Ilu,ET,2022-04-25 21:18:05,10.6,39.4333,54.66,72,99,3.09,light rain
133,Camacha,PT,2022-04-25 21:18:05,33.0833,-16.3333,60.22,77,40,10.36,scattered clouds
134,Maniitsoq,GL,2022-04-25 21:18:06,65.4167,-52.9,29.34,82,100,7.7,overcast clouds
135,Saskylakh,RU,2022-04-25 21:19:06,71.9167,114.0833,-6.09,100,100,3.85,overcast clouds
136,Kieta,PG,2022-04-25 21:19:07,-6.2167,155.6333,80.53,80,58,0.63,light rain
137,Tuatapere,NZ,2022-04-25 21:19:07,-46.1333,167.6833,44.56,82,35,5.06,scattered clouds
138,Mataram,ID,2022-04-25 21:19:08,-8.5833,116.1167,76.01,83,92,2.84,overcast clouds
139,Disna,BY,2022-04-25 21:19:08,55.568,28.1971,44.71,77,64,4.16,broken clouds
140,Ilulissat,GL,2022-04-25 21:19:09,69.2167,-51.1,26.62,93,100,3.44,light snow
141,Sao Filipe,CV,2022-04-25 21:19:10,14.8961,-24.4956,76.8,62,4,8.59,clear sky
142,Xichang,CN,2022-04-25 21:19:10,27.8964,102.2634,58.98,88,24,3.4,few clouds
143,Shingu,JP,2022-04-25 21:19:10,33.7333,135.9833,64.65,94,100,1.25,overcast clouds
144,Ishinomaki,JP,2022-04-25 21:19:11,38.4167,141.3,55.4,97,100,4.12,overcast clouds
145,Bambous Virieux,MU,2022-04-25 21:19:11,-20.3428,57.7575,73.65,88,40,12.66,light rain
146,Altamira,BR,2022-04-25 21:19:12,-3.2033,-52.2064,86.09,70,20,2.3,few clouds
147,Katangli,RU,2022-04-25 21:19:12,51.7102,143.2326,20.32,91,60,7.09,broken clouds
148,Todos Santos,MX,2022-04-25 21:19:13,23.45,-110.2167,73.06,59,6,7.63,clear sky
149,Genhe,CN,2022-04-25 21:19:13,50.7833,121.5167,31.62,54,100,12.12,overcast clouds
150,Ayagoz,KZ,2022-04-25 21:19:13,47.9714,80.4392,32.77,93,73,8.46,broken clouds
151,Te Anau,NZ,2022-04-25 21:19:14,-45.4167,167.7167,42.39,85,9,0.83,clear sky
152,Buchanan,LR,2022-04-25 21:19:14,5.8808,-10.0467,80.42,83,100,11.16,overcast clouds
153,Pisco,PE,2022-04-25 21:19:15,-13.7,-76.2167,69.85,73,0,4.61,clear sky
154,Seydi,TM,2022-04-25 21:19:15,39.4816,62.9137,70.48,23,100,14.52,overcast clouds
155,Samarai,PG,2022-04-25 21:16:02,-10.6167,150.6667,82.96,77,89,13.06,overcast clouds
156,Vanimo,PG,2022-04-25 21:19:16,-2.6741,141.3028,77.05,91,95,5.35,overcast clouds
157,Barrow,US,2022-04-25 21:19:16,71.2906,-156.7887,14.02,79,100,11.5,overcast clouds
158,Bakchar,RU,2022-04-25 21:19:17,57.0186,82.0711,33.49,84,81,5.79,broken clouds
159,Dudinka,RU,2022-04-25 21:19:17,69.4058,86.1778,1.62,97,100,6.69,overcast clouds
160,Ponta Do Sol,PT,2022-04-25 21:19:17,32.6667,-17.1,62.01,81,32,11.05,scattered clouds
161,Los Llanos De Aridane,ES,2022-04-25 21:19:18,28.6585,-17.9182,64.15,81,75,5.75,broken clouds
162,Pachperwa,IN,2022-04-25 21:19:18,27.5167,82.65,80.65,14,0,4.45,clear sky
163,Dickinson,US,2022-04-25 21:19:19,29.4608,-95.0513,84.15,79,100,23.02,overcast clouds
164,Jacareacanga,BR,2022-04-25 21:19:19,-6.2222,-57.7528,79.03,90,87,2.17,overcast clouds
165,Sitka,US,2022-04-25 21:19:20,57.0531,-135.33,48.09,71,75,8.05,broken clouds
166,Sola,VU,2022-04-25 21:19:20,-13.8833,167.55,80.1,78,83,14.65,broken clouds
167,La Ronge,CA,2022-04-25 21:19:21,55.1001,-105.2842,37.65,25,0,14.97,clear sky
168,Lalibela,ET,2022-04-25 21:16:18,12.0333,39.0333,64.13,58,81,2.64,light rain
169,Thompson,CA,2022-04-25 21:19:21,55.7435,-97.8558,26.76,28,40,4.61,scattered clouds
170,Hualmay,PE,2022-04-25 21:19:22,-11.0964,-77.6139,70.21,77,100,10.11,overcast clouds
171,Kununurra,AU,2022-04-25 21:19:22,-15.7667,128.7333,66.18,94,100,3.44,overcast clouds
172,Qaqortoq,GL,2022-04-25 21:19:23,60.7167,-46.0333,37.2,84,88,3.0,overcast clouds
173,Seoul,KR,2022-04-25 21:16:36,37.5683,126.9778,62.17,82,75,3.44,moderate rain
174,Buluang,PH,2022-04-25 21:19:23,13.3068,123.3425,77.23,91,86,3.27,overcast clouds
175,Victor Harbor,AU,2022-04-25 21:17:22,-35.5667,138.6167,62.67,82,100,4.76,light rain
176,Port Macquarie,AU,2022-04-25 21:19:25,-31.4333,152.9167,58.89,100,75,0.0,heavy intensity rain
177,Rio Gallegos,AR,2022-04-25 21:20:25,-51.6226,-69.2181,42.85,87,40,14.97,light intensity drizzle
178,Blythe,US,2022-04-25 21:20:26,33.6103,-114.5964,90.05,5,0,6.91,clear sky
179,Waipawa,NZ,2022-04-25 21:20:26,-41.4122,175.5153,52.9,75,79,2.39,broken clouds
